iter	Accuracy	Logloss
352	0.8530783593	0.3497702157
353	0.8533851844	0.3493805894
354	0.8535980592	0.3491751103
355	0.8536955772	0.3489594854
356	0.8538953703	0.3487023113
357	0.8539108304	0.3484990991
358	0.8539643465	0.3482576454
359	0.8541284622	0.348079556
360	0.8541831674	0.3478824016
361	0.8543496617	0.3477104442
362	0.8545518332	0.3474763861
363	0.8548241702	0.3472104784
364	0.854857469	0.347039413
365	0.8549216883	0.3468563809
366	0.8551179136	0.3466206503
367	0.855183322	0.3464805796
368	0.8553795474	0.3461512704
369	0.8555888544	0.3458020042
370	0.8556851832	0.3456490004
371	0.8558338388	0.3454526264
372	0.8559563309	0.3452991767
373	0.8562108293	0.3449712426
374	0.8563630526	0.3447830818
375	0.8564974372	0.3446062189
376	0.856691284	0.3443186075
377	0.8567436108	0.3441496976
378	0.8569077265	0.3438976893
379	0.8571217905	0.3436181425
380	0.8571883882	0.3433618232
381	0.8573620179	0.3430644749
382	0.8573739104	0.3428379981
383	0.8576070023	0.3424873197
384	0.8578163093	0.342224571
385	0.8580089669	0.3419424227
386	0.8582551405	0.341673542
387	0.8582813039	0.3414402271
388	0.8585453162	0.3412333357
389	0.8587427307	0.3410042575
390	0.8589282529	0.3407638071
391	0.8590721515	0.3405201235
392	0.8592921617	0.3403713936
393	0.8595811481	0.3400889852
394	0.859702451	0.339924535
395	0.860033061	0.3395963407
396	0.8600247363	0.3394250895
397	0.8601531747	0.3391467691
398	0.860300641	0.3388837974
399	0.860456432	0.3386917345
400	0.860626494	0.3383946463
401	0.8609689964	0.338039248
402	0.861005863	0.3377714079
403	0.8610843531	0.337393191
404	0.8612449011	0.3371579807
405	0.8614744253	0.3368320906
406	0.8615743218	0.336588184
407	0.8617705472	0.3363547947
408	0.8618906609	0.3361448931
409	0.8619941251	0.3358795057
410	0.8620868862	0.3357240492
411	0.8622866793	0.3355223979
412	0.8624222531	0.335240993
413	0.8625387991	0.3350816342
414	0.8626684267	0.3348508093
415	0.8629288713	0.3345563226
416	0.8630525527	0.3342735426
417	0.8632297501	0.3339835899
418	0.8635139796	0.3337458525
419	0.863642418	0.3334751879
420	0.8638124799	0.3332470016
421	0.8638850238	0.3331148468
422	0.8639884881	0.3329515859
423	0.864177578	0.3327195717
424	0.8643083949	0.332557054
425	0.864333369	0.3322934505
426	0.8645414868	0.3318598966
427	0.8648661505	0.3314051964
428	0.8650397802	0.3310975537
429	0.8652990355	0.3308458799
430	0.8654001213	0.3306904605
431	0.8655571016	0.3303854936
432	0.8657271635	0.3300893717
433	0.8660078252	0.3297834014
434	0.8661755087	0.3296139712
435	0.8662468634	0.3294789177
436	0.8664668736	0.3292490218
437	0.8665120649	0.3291310637
438	0.8666238539	0.3287948791
439	0.8667154257	0.3286405003
440	0.8669068941	0.3284446466
441	0.8670103583	0.3282839871
442	0.8671923127	0.3280823359
443	0.8672184761	0.327905956
444	0.8672493965	0.3277231097
445	0.8675478968	0.3274493233
446	0.8676906062	0.3272388642
447	0.8677369867	0.3270955231
448	0.8678963455	0.3268115166
449	0.8680842461	0.3265005292
450	0.868215063	0.3262139585
451	0.8684065313	0.3260122329
452	0.8685171311	0.3257976486
453	0.8685385375	0.3255923552
454	0.8685242665	0.3254533623
455	0.868643191	0.3253021424
456	0.8688513088	0.3250515463
457	0.86902256	0.3247779086
458	0.8692175961	0.3244956489
459	0.8692615981	0.3243210157
460	0.8692461379	0.3241359396
461	0.8694709051	0.3239050032
462	0.8695267996	0.3237675339
463	0.8696766444	0.3234900312
464	0.8698728698	0.3232295495
465	0.8699941727	0.3229665034
466	0.8701142864	0.3227416991
467	0.8701927765	0.3225669916
468	0.8702058582	0.322352556
469	0.8702724559	0.3221308734
470	0.870462735	0.3219114949
471	0.8705757132	0.3216240694
472	0.8707196118	0.3213921296
473	0.8709420005	0.3212287571
474	0.8711869849	0.3209924319
475	0.8712476364	0.3208742508
476	0.8713403974	0.320670444
477	0.8715830033	0.3204305883
478	0.8717780394	0.3201093808
479	0.8718351231	0.3198734644
480	0.8720396732	0.3196213817
481	0.8721621654	0.3193012148
482	0.8722406555	0.3191751549
483	0.8723690939	0.3189351133
484	0.8725236957	0.318754534
485	0.8727032716	0.3185895635
486	0.8729006862	0.3183799591
487	0.872953013	0.3181802776
488	0.8731432921	0.3179430605
489	0.8732431886	0.317801912
490	0.8734263323	0.3176560809
491	0.8735726093	0.3174709304
492	0.8735666631	0.3172138306
493	0.8735428782	0.3171179478
494	0.8737236434	0.3168107511
495	0.8738271076	0.3165921531
496	0.8740043051	0.316251546
497	0.8741339327	0.3160384854
498	0.8742112336	0.31583453
499	0.8742635604	0.3157157542
